classification,match_kind,oem_name,recovered_names,oem_instructions,recovered_instructions,instruction_ratio,instruction_delta,oem_bytes,recovered_bytes,oem_branches,recovered_branches,oem_calls,recovered_calls,oem_returns,recovered_returns,oem_relocations,recovered_relocations,missing_replacement_targets
oem_only,oem_only,ispcore_frame_channel_streamoff.isra.0,,242,0,0.000000,-242,968,0,26,0,15,0,1,0,27,0,
oem_only,oem_only,mscaler_frame_channel_streamoff.isra.0,,170,0,0.000000,-170,680,0,14,0,9,0,1,0,16,0,
oem_only,oem_only,ae_roi.part.1,,164,0,0.000000,-164,656,0,14,0,5,0,1,0,6,0,
oem_only,oem_only,awb_roi.part.2,,164,0,0.000000,-164,656,0,14,0,5,0,1,0,6,0,
oem_only,oem_only,AWB_mesh.isra.1,,160,0,0.000000,-160,640,0,5,0,20,0,0,0,16,0,
oem_only,oem_only,apical_program_interrupt_event.part.0,,145,0,0.000000,-145,580,0,18,0,16,0,1,0,6,0,
oem_only,oem_only,ispcore_frame_channel_set_crop.isra.0,,129,0,0.000000,-129,516,0,13,0,11,0,1,0,14,0,
oem_only,oem_only,apical_isp_table_s_attr.isra.0,,116,0,0.000000,-116,464,0,8,0,10,0,1,0,34,0,
oem_only,oem_only,isp_configure_base_addr.isra.0,,102,0,0.000000,-102,408,0,9,0,2,0,1,0,4,0,
oem_only,oem_only,isp_set_buffer_address_vflip_disable.isra.0,,75,0,0.000000,-75,300,0,4,0,2,0,1,0,4,0,
oem_only,oem_only,apical_isp_awb_weight_s_attr.isra.0,,73,0,0.000000,-73,292,0,3,0,4,0,1,0,10,0,
oem_only,oem_only,apical_isp_ae_weight_g_attr.isra.0,,63,0,0.000000,-63,252,0,3,0,3,0,1,0,8,0,
oem_only,oem_only,apical_isp_awb_weight_g_attr.isra.0,,63,0,0.000000,-63,252,0,3,0,3,0,1,0,8,0,
oem_only,oem_only,isp_modify_dma_direction.isra.0,,61,0,0.000000,-61,244,0,6,0,2,0,2,0,4,0,
oem_only,oem_only,tx_isp_video_link_destroy.isra.0,,55,0,0.000000,-55,220,0,4,0,4,0,2,0,6,0,
oem_only,oem_only,tx_isp_init,,50,0,0.000000,-50,200,0,6,0,6,0,1,0,21,0,
oem_only,oem_only,apical_isp_gamma_g_attr.isra.0,,47,0,0.000000,-47,188,0,2,0,3,0,1,0,8,0,
oem_only,oem_only,__enqueue_in_driver.isra.0,,43,0,0.000000,-43,172,0,3,0,3,0,1,0,10,0,
oem_only,oem_only,apical_isp_stab_g_attr.isra.0,,41,0,0.000000,-41,164,0,1,0,4,0,1,0,12,0,
oem_only,oem_only,isp_enable_dma_transfer.isra.0,,41,0,0.000000,-41,164,0,7,0,2,0,0,0,2,0,
oem_only,oem_only,isp_subdev_release_clks.isra.0,,34,0,0.000000,-34,136,0,3,0,2,0,1,0,4,0,
oem_only,oem_only,subdev_video_destroy_link.isra.0,,22,0,0.000000,-22,88,0,3,0,0,0,1,0,0,0,
oem_only,oem_only,tx_isp_exit,,18,0,0.000000,-18,72,0,1,0,2,0,0,0,10,0,
shorter,replacement,apical_isp_core_ops_s_ctrl,"apical_isp_ae_weight_s_attr_isra_0,apical_isp_core_ops_s_ctrl,apical_isp_gamma_s_attr_isra_0,apical_isp_stab_s_attr_isra_0",2619,1527,0.583047,-1092,10476,6108,232,143,312,44,1,4,351,260,
shorter,exact_name,apical_interrupt_frame_buffer_ds,apical_interrupt_frame_buffer_ds,27,19,0.703704,-8,108,76,1,0,1,0,1,1,4,0,
shorter,exact_name,apical_interrupt_frame_buffer_ds2,apical_interrupt_frame_buffer_ds2,27,19,0.703704,-8,108,76,1,0,1,0,1,1,4,0,
shorter,exact_name,apical_fw_process,apical_fw_process,25,15,0.600000,-10,100,60,3,0,1,1,0,1,6,2,
expanded,exact_name,apical_command,apical_command,1300,2877,2.213077,1577,5200,11508,152,406,1,131,1,1,274,262,
expanded,exact_name,apical_isp_core_ops_g_ctrl,apical_isp_core_ops_g_ctrl,1266,4821,3.808057,3555,5064,19284,139,851,115,24,1,1,227,60,
expanded,exact_name,frame_channel_unlocked_ioctl,frame_channel_unlocked_ioctl,946,3018,3.190275,2072,3784,12072,153,245,65,72,1,1,208,346,
expanded,exact_name,ispcore_pad_event_handle,ispcore_pad_event_handle,891,2725,3.058361,1834,3564,10900,152,246,55,55,1,1,129,204,
expanded,exact_name,isp_info_show,isp_info_show,813,1800,2.214022,987,3252,7200,13,18,144,140,1,1,188,470,
expanded,exact_name,ispcore_interrupt_service_routine,ispcore_interrupt_service_routine,702,2129,3.032764,1427,2808,8516,92,166,58,58,1,1,70,158,
expanded,exact_name,tx_isp_unlocked_ioctl,tx_isp_unlocked_ioctl,693,2217,3.199134,1524,2772,8868,117,203,40,47,1,1,120,178,
expanded,exact_name,apical_custom_initialization,apical_custom_initialization,592,1592,2.689189,1000,2368,6368,9,13,125,125,1,1,66,356,
expanded,exact_name,ncu_pad_event_handle,ncu_pad_event_handle,589,1682,2.855688,1093,2356,6728,65,128,37,38,1,1,80,126,
expanded,exact_name,matrix_yuv_coefft_write_to_hardware,matrix_yuv_coefft_write_to_hardware,466,1197,2.568670,731,1864,4788,16,12,119,126,0,1,8,252,
expanded,exact_name,mscaler_pad_event_handle,mscaler_pad_event_handle,461,990,2.147505,529,1844,3960,56,91,22,30,2,1,66,116,
expanded,exact_name,load_tx_isp_parameters,load_tx_isp_parameters,435,1345,3.091954,910,1740,5380,43,91,29,29,1,1,108,178,
expanded,exact_name,ispcore_video_s_stream,ispcore_video_s_stream,433,1136,2.623557,703,1732,4544,42,68,36,36,1,1,78,124,
expanded,exact_name,sharpening_update,sharpening_update,404,879,2.175743,475,1616,3516,35,43,35,36,0,1,34,94,
expanded,exact_name,tx_isp_subdev_init,tx_isp_subdev_init,343,904,2.635569,561,1372,3616,41,59,25,25,1,1,85,86,
expanded,exact_name,subdev_sensor_ops_ioctl,subdev_sensor_ops_ioctl,342,808,2.362573,466,1368,3232,60,103,26,36,1,1,68,90,
expanded,exact_name,sensor_load_binary_sequence,sensor_load_binary_sequence,304,647,2.128289,343,1216,2588,34,33,8,10,1,1,15,20,
expanded,exact_name,ae_calculate_target,ae_calculate_target,297,872,2.936027,575,1188,3488,19,20,18,11,1,1,24,26,
expanded,exact_name,apical_api_init_idx_array,apical_api_init_idx_array,295,1014,3.437288,719,1180,4056,0,0,1,1,1,1,6,284,
expanded,exact_name,_update_ds2,_update_ds2,294,605,2.057823,311,1176,2420,18,32,32,32,1,1,19,64,
expanded,exact_name,apical_isp_init,apical_isp_init,281,594,2.113879,313,1124,2376,1,0,42,43,0,1,86,114,
expanded,exact_name,tx_isp_mscaler_probe,tx_isp_mscaler_probe,257,697,2.712062,440,1028,2788,22,27,16,16,1,1,67,88,
