classification,match_kind,oem_name,recovered_names,oem_instructions,recovered_instructions,instruction_ratio,instruction_delta,oem_bytes,recovered_bytes,oem_branches,recovered_branches,oem_calls,recovered_calls,oem_returns,recovered_returns,oem_relocations,recovered_relocations,missing_replacement_targets
stub,exact_name,Tiziano_adr_fpga,Tiziano_adr_fpga,3210,2,0.000623,-3208,12840,8,263,0,148,0,3,1,47,0,
stub,exact_name,tisp_defog_soft_process,tisp_defog_soft_process,1121,2,0.001784,-1119,4484,8,134,0,22,0,1,1,16,0,
stub,exact_name,frame_channel_unlocked_ioctl,frame_channel_unlocked_ioctl,899,2,0.002225,-897,3596,8,171,0,56,0,1,1,197,0,
stub,exact_name,tx_isp_vic_start,tx_isp_vic_start,606,5,0.008251,-601,2424,20,75,1,13,0,1,0,67,4,
stub,exact_name,ispcore_pad_event_handle,ispcore_pad_event_handle,548,4,0.007299,-544,2192,16,87,1,26,0,2,0,67,2,
stub,exact_name,ispcore_core_ops_init,ispcore_core_ops_init,501,8,0.015968,-493,2004,32,129,2,18,0,1,1,51,0,
stub,exact_name,dump_ivdc_regs,dump_ivdc_regs,433,2,0.004619,-431,1732,8,1,0,46,0,0,1,143,0,
stub,exact_name,tisp_ae1_process_impl,tisp_ae1_process_impl,273,2,0.007326,-271,1092,8,26,0,11,0,1,1,68,0,
stub,exact_name,tisp_msca_api_set_line,tisp_msca_api_set_line,273,2,0.007326,-271,1092,8,23,0,22,0,1,1,4,0,
stub,exact_name,tx_isp_probe,tx_isp_probe,235,2,0.008511,-233,940,8,25,0,23,0,1,1,74,0,
stub,exact_name,csi_core_ops_init,csi_core_ops_init,188,5,0.026596,-183,752,20,22,1,6,0,2,0,10,4,
stub,exact_name,ispcore_slake_module,ispcore_slake_module,114,2,0.017544,-112,456,8,18,0,6,0,2,1,14,0,
stub,exact_name,dump_csi_reg,dump_csi_reg,100,2,0.020000,-98,400,8,1,0,14,0,0,1,32,0,
stub,exact_name,isp_frame_done_wait,isp_frame_done_wait,82,4,0.048780,-78,328,16,8,0,3,0,1,1,21,0,
stub,exact_name,ispcore_irq_fs_work,ispcore_irq_fs_work,79,6,0.075949,-73,316,24,12,0,1,0,1,1,7,3,
stub,exact_name,isp_malloc_buffer,isp_malloc_buffer,72,2,0.027778,-70,288,8,10,0,4,0,1,1,16,0,
stub,exact_name,tisp_stream_on,tisp_stream_on,71,2,0.028169,-69,284,8,1,0,6,0,0,1,18,0,
stub,exact_name,tx_isp_notify,tx_isp_notify,69,2,0.028986,-67,276,8,12,0,1,0,1,1,2,0,
stub,exact_name,__vb2_queue_cancel,__vb2_queue_cancel,67,2,0.029851,-65,268,8,5,0,5,0,1,1,8,0,
stub,exact_name,tx_isp_video_link_stream,tx_isp_video_link_stream,64,2,0.031250,-62,256,8,12,0,2,0,1,1,0,0,
stub,exact_name,ivdc_slake_module,ivdc_slake_module,63,6,0.095238,-57,252,24,9,1,4,0,1,1,8,0,
stub,exact_name,tx_isp_subdev_deinit,tx_isp_subdev_deinit,59,5,0.084746,-54,236,20,6,1,8,0,1,1,17,0,
stub,exact_name,vic_core_s_stream,vic_core_s_stream,50,5,0.100000,-45,200,20,8,1,3,0,2,0,6,4,
stub,exact_name,ispcore_sensor_ops_ioctl,ispcore_sensor_ops_ioctl,46,2,0.043478,-44,184,8,8,0,1,0,1,1,0,0,
stub,exact_name,tx_vic_disable_irq,tx_vic_disable_irq,45,2,0.044444,-43,180,8,6,0,3,0,1,1,10,0,
stub,exact_name,fs_activate_module,fs_activate_module,43,2,0.046512,-41,172,8,7,0,1,0,3,1,4,0,
stub,exact_name,tx_vic_enable_irq,tx_vic_enable_irq,42,2,0.047619,-40,168,8,5,0,3,0,1,1,9,0,
stub,exact_name,isp_irq_thread_handle,isp_irq_thread_handle,39,2,0.051282,-37,156,8,7,0,2,0,1,1,0,0,
stub,exact_name,tx_isp_vin_remove,tx_isp_vin_remove,35,4,0.114286,-31,140,16,1,1,4,0,1,0,8,2,
stub,exact_name,__enqueue_in_driver,__enqueue_in_driver,32,5,0.156250,-27,128,20,2,0,2,0,1,1,6,0,
stub,exact_name,tx_isp_frame_chan_deinit,tx_isp_frame_chan_deinit,29,2,0.068966,-27,116,8,2,0,3,0,1,1,6,0,
stub,exact_name,csi_video_s_stream,csi_video_s_stream,26,5,0.192308,-21,104,20,5,1,1,0,1,0,4,4,
collapsed,exact_name,tiziano_adr_algorithm,tiziano_adr_algorithm,3274,702,0.214417,-2572,13096,2808,207,83,1,0,1,2,232,38,
collapsed,exact_name,Tiziano_Awb_Ct_Detect,Tiziano_Awb_Ct_Detect,1845,235,0.127371,-1610,7380,940,197,25,35,6,1,1,86,10,
collapsed,exact_name,ae0_tune2,ae0_tune2,1535,31,0.020195,-1504,6140,124,172,1,91,2,1,0,97,8,
collapsed,exact_name,apical_isp_core_ops_s_ctrl,apical_isp_core_ops_s_ctrl,1295,616,0.475676,-679,5180,2464,274,133,59,30,1,1,263,89,
collapsed,exact_name,tiziano_defog_init,tiziano_defog_init,1181,429,0.363251,-752,4724,1716,53,15,127,50,1,0,546,132,
collapsed,exact_name,tiziano_adr_params_init,tiziano_adr_params_init,1158,242,0.208981,-916,4632,968,2,0,126,41,1,1,135,120,
collapsed,exact_name,tiziano_adr_init,tiziano_adr_init,981,257,0.261978,-724,3924,1028,61,12,62,31,1,1,449,98,
collapsed,exact_name,tisp_msca_ch_curve_write,tisp_msca_ch_curve_write,762,102,0.133858,-660,3048,408,15,4,120,3,1,1,54,30,
collapsed,exact_name,Tiziano_awb_fpga,Tiziano_awb_fpga,724,208,0.287293,-516,2896,832,70,16,10,9,1,1,74,41,
collapsed,exact_name,isp_vic_cmd_set,isp_vic_cmd_set,678,22,0.032448,-656,2712,88,78,1,64,1,1,0,157,10,
collapsed,exact_name,tisp_code_tuning_ioctl,tisp_code_tuning_ioctl,643,37,0.057543,-606,2572,148,89,5,34,1,1,1,231,8,
