classification,match_kind,oem_name,recovered_names,oem_instructions,recovered_instructions,instruction_ratio,instruction_delta,oem_bytes,recovered_bytes,oem_branches,recovered_branches,oem_calls,recovered_calls,oem_returns,recovered_returns,oem_relocations,recovered_relocations,missing_replacement_targets
stub,exact_name,Tiziano_Awb_Ct_Detect,Tiziano_Awb_Ct_Detect,1439,2,0.001390,-1437,5756,8,133,0,43,0,1,1,76,0,
stub,exact_name,tisp_log2_int_to_fixed_64,tisp_log2_int_to_fixed_64,130,4,0.030769,-126,520,16,15,1,3,0,1,0,8,2,
stub,exact_name,tisp_math_exp2,tisp_math_exp2,57,4,0.070175,-53,228,16,2,1,1,0,1,0,5,2,
stub,exact_name,tisp_sdns_intp_reg_refresh,tisp_sdns_intp_reg_refresh,27,4,0.148148,-23,108,16,0,1,5,0,1,0,10,2,
collapsed,exact_name,Tiziano_adr_fpga,Tiziano_adr_fpga,2379,39,0.016393,-2340,9516,156,164,2,136,1,1,0,24,4,
collapsed,exact_name,ae_tune2,ae_tune2,1147,27,0.023540,-1120,4588,108,113,1,68,1,1,0,145,6,
collapsed,exact_name,apical_isp_core_ops_s_ctrl,apical_isp_core_ops_s_ctrl,691,249,0.360347,-442,2764,996,153,59,26,10,1,2,116,44,
collapsed,exact_name,Tiziano_defog_fpga,Tiziano_defog_fpga,627,179,0.285486,-448,2508,716,77,12,24,4,1,1,34,4,
collapsed,exact_name,tisp_mdns_param_array_get,tisp_mdns_param_array_get,558,48,0.086022,-510,2232,192,132,4,2,2,1,1,270,14,
collapsed,exact_name,tiziano_defog_algorithm,tiziano_defog_algorithm,465,171,0.367742,-294,1860,684,26,16,2,2,1,1,117,49,
collapsed,exact_name,isp_vic_cmd_set,isp_vic_cmd_set,436,168,0.385321,-268,1744,672,53,18,41,16,1,1,120,47,
collapsed,exact_name,tisp_ae_process_impl,tisp_ae_process_impl,432,123,0.284722,-309,1728,492,23,3,15,1,1,0,170,67,
collapsed,exact_name,tiziano_adr_algorithm,tiziano_adr_algorithm,397,75,0.188917,-322,1588,300,25,1,1,1,1,0,97,35,
collapsed,exact_name,Tiziano_ae_fpga,Tiziano_ae_fpga,230,94,0.408696,-136,920,376,20,6,6,6,1,0,8,15,
collapsed,exact_name,tisp_dmsc_param_array_get,tisp_dmsc_param_array_get,180,48,0.266667,-132,720,192,47,4,2,2,1,1,100,14,
collapsed,exact_name,tisp_dmsc_param_array_set,tisp_dmsc_param_array_set,179,47,0.262570,-132,716,188,48,4,3,2,1,1,104,18,
collapsed,exact_name,tisp_dpc_param_array_get,tisp_dpc_param_array_get,143,48,0.335664,-95,572,192,35,4,2,2,1,1,76,14,
collapsed,exact_name,jz_isp_ccm,jz_isp_ccm,142,59,0.415493,-83,568,236,16,4,5,4,1,0,38,22,
collapsed,exact_name,tisp_sdns_param_array_get,tisp_sdns_param_array_get,132,48,0.363636,-84,528,192,32,4,2,2,1,1,70,14,
collapsed,exact_name,tisp_adr_param_array_get,tisp_adr_param_array_get,127,47,0.370079,-80,508,188,28,4,2,2,1,1,62,14,
collapsed,exact_name,tisp_awb_param_array_get,tisp_awb_param_array_get,123,47,0.382114,-76,492,188,27,4,2,2,1,1,60,14,
collapsed,exact_name,tisp_defog_param_array_get,tisp_defog_param_array_get,116,48,0.413793,-68,464,192,25,4,2,2,1,1,56,14,
collapsed,exact_name,tisp_ae_param_array_get,tisp_ae_param_array_get,112,48,0.428571,-64,448,192,23,4,2,2,1,1,52,14,
collapsed,exact_name,tisp_gib_param_array_get,tisp_gib_param_array_get,110,48,0.436364,-62,440,192,24,4,2,2,1,1,54,14,
collapsed,exact_name,tisp_gib_param_array_set,tisp_gib_param_array_set,110,50,0.454545,-60,440,200,25,4,3,3,1,1,58,18,
collapsed,exact_name,tisp_af_param_array_get,tisp_af_param_array_get,105,20,0.190476,-85,420,80,21,1,2,1,1,2,48,6,
collapsed,exact_name,tisp_ccm_param_array_set,tisp_ccm_param_array_set,62,24,0.387097,-38,248,96,9,1,3,2,1,1,28,8,
collapsed,exact_name,tisp_ev_update,tisp_ev_update,35,16,0.457143,-19,140,64,1,1,4,1,2,2,8,4,
collapsed,exact_name,tisp_g_Gamma,tisp_g_Gamma,26,12,0.461538,-14,104,48,1,0,2,1,1,1,8,4,
oem_only,oem_only,apical_isp_ae_s_roi.isra.45,,86,0,0.000000,-86,344,0,10,0,7,0,1,0,24,0,
oem_only,oem_only,apical_isp_ae_zone_weight_s_attr.isra.50,,86,0,0.000000,-86,344,0,10,0,7,0,1,0,24,0,
oem_only,oem_only,apical_isp_af_weight_s_attr.isra.54,,86,0,0.000000,-86,344,0,10,0,7,0,1,0,24,0,
oem_only,oem_only,apical_isp_wb_g_ctrl.isra.65,,80,0,0.000000,-80,320,0,15,0,4,0,1,0,18,0,
oem_only,oem_only,apical_isp_ae_g_roi.isra.64,,77,0,0.000000,-77,308,0,8,0,6,0,1,0,19,0,
