classification,match_kind,oem_name,recovered_names,oem_instructions,recovered_instructions,instruction_ratio,instruction_delta,oem_bytes,recovered_bytes,oem_branches,recovered_branches,oem_calls,recovered_calls,oem_returns,recovered_returns,oem_relocations,recovered_relocations,missing_replacement_targets
stub,exact_name,tisp_bcsh_BCS_adjust,tisp_bcsh_BCS_adjust,355,2,0.005634,-353,1420,8,28,1,17,0,1,0,12,0,
stub,exact_name,ispcore_core_ops_ioctl,ispcore_core_ops_ioctl,309,2,0.006472,-307,1236,8,55,0,8,0,1,1,26,0,
stub,exact_name,ispint_adr_64,ispint_adr_64,101,3,0.029703,-98,404,12,14,0,2,0,1,1,2,0,
stub,exact_name,func_interp1_short,func_interp1_short,67,2,0.029851,-65,268,8,10,0,0,0,1,1,0,0,
stub,exact_name,ispcore_pad_event_handle,ispcore_pad_event_handle,48,2,0.041667,-46,192,8,9,0,0,0,2,1,2,0,
stub,exact_name,mbus_to_bayer_write,mbus_to_bayer_write,46,4,0.086957,-42,184,16,4,0,3,0,1,1,12,2,
stub,exact_name,func_zone_ct_weight,func_zone_ct_weight,42,2,0.047619,-40,168,8,6,1,0,0,0,0,2,0,
stub,exact_name,ISPAWBInterpolation2,ISPAWBInterpolation2,42,4,0.095238,-38,168,16,2,1,4,0,1,0,4,2,
stub,exact_name,tisp_irsca_para_calc,tisp_irsca_para_calc,41,8,0.195122,-33,164,32,4,1,0,0,1,1,6,0,
stub,exact_name,tisp_ae_max_exp_calc_fps,tisp_ae_max_exp_calc_fps,38,2,0.052632,-36,152,8,0,0,1,0,0,1,8,0,
stub,exact_name,tisp_bcsh_dn_params_refresh,tisp_bcsh_dn_params_refresh,38,6,0.157895,-32,152,24,0,0,3,1,1,0,8,2,
stub,exact_name,tisp_ccm_dn_params_refresh,tisp_ccm_dn_params_refresh,38,6,0.157895,-32,152,24,0,0,4,1,1,0,10,2,
stub,exact_name,tisp_mdns_dn_params_refresh,tisp_mdns_dn_params_refresh,37,6,0.162162,-31,148,24,0,0,4,1,1,0,10,2,
stub,exact_name,tisp_hldc_quadratic_func,tisp_hldc_quadratic_func,35,3,0.085714,-32,140,12,0,0,0,0,1,1,0,0,
stub,exact_name,tisp_g_awb_attr,tisp_g_awb_attr,35,6,0.171429,-29,140,24,0,0,2,1,1,0,6,2,
stub,exact_name,tisp_hldc_para_validity_judge,tisp_hldc_para_validity_judge,34,2,0.058824,-32,136,8,4,0,0,0,1,1,0,0,
